model,scenario,variable,unit,2025,2030,2035
REGEN-EPRI,IRA.High,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1686.795598,1499.167405,1325.663035
REGEN-EPRI,IRA.Low,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,523.3365524,491.9030549,468.5409598
REGEN-EPRI,IRA.Low,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,923.5157068,929.8777997,863.9506377
REGEN-EPRI,IRA.Low,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1686.795598,1499.167405,1325.663035
RIO-REPEAT,IRA,Carbon Sequestration|LULUCF,Mt CO2/yr,,,
RIO-REPEAT,IRA,Emissions|CH4,Mt CO2/yr,,,
RIO-REPEAT,IRA,Emissions|CO2,Mt CO2e/yr,,,
RIO-REPEAT,IRA,Emissions|GHG|Agriculture,Mt CO2e/yr,,,
RIO-REPEAT,IRA,Emissions|GHG|Energy,Mt CO2e/yr,,,
RIO-REPEAT,IRA,Emissions|GHG|Industrial Processes,Mt CO2e/yr,,,
RIO-REPEAT,IRA,Emissions|GHG|Net,Mt CO2e/yr,,,
RIO-REPEAT,IRA,Emissions|GHG|Total Gross,Mt CO2e/yr,,,
RIO-REPEAT,IRA,Emissions|GHG|Transportation,Mt CO2e/yr,,,
RIO-REPEAT,IRA,Emissions|GHG|Waste,Mt CO2e/yr,,,
RIO-REPEAT,IRA,Emissions|N2O,Mt CO2e/yr,,,
RIO-REPEAT,IRA,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1460.5,741,370
RIO-REPEAT,IRA.High,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1329.5,676,324
RIO-REPEAT,IRA.Low,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1366,694,337
RIO-REPEAT,IRA,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,1696.011948,1091.908867,759.9757046
RIO-REPEAT,IRA,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1143.888015,911.2163009,688.0923226
RIO-REPEAT,IRA,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1829.600037,1583.874832,1204.931973
RIO-REPEAT,IRA.High,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,1598.621077,1035.457395,707.9311909
RIO-REPEAT,IRA.High,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1110.457129,888.0918322,659.4124764
RIO-REPEAT,IRA.High,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1819.921794,1540.450773,1108.656333
RIO-REPEAT,IRA.Low,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,1634.415993,1087.554278,788.8166977
RIO-REPEAT,IRA.Low,Emissions|CO2|Energy|Demand|Industry and Fuel Production|Total,Mt CO2/yr,1143.146686,911.3173873,725.7013846
RIO-REPEAT,IRA.Low,Emissions|CO2|Energy|Demand|Transportation|Total,Mt CO2/yr,1835.937321,1630.128335,1362.481918
RIO-REPEAT,IRA,Emissions|F-gases|HFCs,Mt CO2e/yr,150,153,124
RIO-REPEAT,IRA,Emissions|F-gases|PFCs,Mt CO2e/yr,5,5,5
RIO-REPEAT,IRA,Emissions|F-gases|SF6,Mt CO2e/yr,5,4,4
RIO-REPEAT,IRA,Emissions|F-gases|NF3,Mt CO2e/yr,1,1,1
USREP-ReEDS,All Advanced,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,969.2015459,432.2378221,294.1613104
USREP-ReEDS,Constrained Deployment,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1099.534099,763.7320001,664.7557448
USREP-ReEDS,IRA,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1063.271865,616.834498,488.0122266
USREP-ReEDS,IRA.High,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1074.227677,610.5185662,488.6738995
USREP-ReEDS,IRA.Low,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1122.800324,698.2013332,577.0663645
USREP-ReEDS,Opt-IRA.Adv,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,972.7656785,394.8322234,276.5247851
USREP-ReEDS,Pess-IRA.Adv,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1039.577307,484.0228703,352.3706364
USREP-ReEDS,All Advanced,Emissions|CO2|Energy|Demand|Buildings|Total,Mt CO2/yr,1175.071773,695.0148509,532.9041906
