usproj_category,usproj_sector,usproj_source,usproj_subsource,region,gas,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ferroalloy,IPPU,Ferroalloy,Ferroalloy,USA,CO2,MMTCO2e,2.15,1.93,1.96,1.9,2.02,2.04,2.13,2.23,2.22,2.18,1.89,1.46,1.35,1.3,1.42,1.39,1.51,1.55,1.6,1.47,1.66,1.74,1.9,1.79,2.01,1.96,1.8,1.98,2.06,1.6,1.38,1.57,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
FieldBurn,Agriculture,FieldBurn,FieldBurn,USA,CH4,MMTCO2e,0.48,0.48,0.5,0.5,0.5,0.43,0.52,0.52,0.5,0.52,0.5,0.48,0.55,0.68,0.58,0.58,0.55,0.58,0.52,0.48,0.62,0.45,0.52,0.52,0.58,0.52,0.55,0.55,0.55,0.58,0.55,0.55,0.55,0.56,0.56,0.57,0.57,0.57,0.57,0.58,0.58,0.58,0.58,0.58,0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.61,0.61,0.61,0.61,0.62,0.62,0.62,0.62
FieldBurn,Agriculture,FieldBurn,FieldBurn,USA,N2O,MMTCO2e,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
ForestLandConvertCarbonStock,LULUCF,ForestLand,ForestLandConvertCarbonStock,USA,CO2,MMTCO2e,-100.2,-100.1,-100,-100,-100,-100.1,-100.1,-100,-100.1,-100.1,-100.1,-100.1,-100.1,-100.1,-100.1,-100.2,-100.2,-100.2,-100.2,-100.2,-100.2,-100.2,-100.2,-100.3,-100.3,-100.3,-100.4,-100.4,-100.4,-100.3,-100.3,-100.3,-100.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ForestLandDrainedOrg,LULUCF,ForestLand,ForestLandDrainedOrg,USA,CH4,MMTCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ForestLandDrainedOrg,LULUCF,ForestLand,ForestLandDrainedOrg,USA,N2O,MMTCO2e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ForestLandFires,LULUCF,ForestLand,ForestLandFires,USA,CH4,MMTCO2e,3.4,2.5,0.8,1.1,2.9,0.6,2,0.3,1.1,2.9,6.1,2.2,8.8,5.9,14.1,9.2,4.8,7.5,4.3,6.4,1.8,3.8,5.6,6.5,2.4,14.3,2.4,7.9,6,3.4,9.8,12.7,9.1,9.58,24.87,6.92,17.11,5.93,10.04,9.52,6.69,8.3,5.83,9.37,12.26,7.84,10.08,9.43,18.76,9.62,14.78,14.76,14.75,14.73,14.72,14.7,14.68,14.67,14.65,14.64,14.62
ForestLandFires,LULUCF,ForestLand,ForestLandFires,USA,N2O,MMTCO2e,2.4,2,0.5,0.7,1.8,0.4,1.3,0.2,0.7,2,3.6,1.4,5.6,3.5,9.7,6.3,3,4.6,2.6,4.4,1.3,2.7,3.4,4.1,1.6,9.1,1.6,4.6,3.7,2.3,5.5,7.2,5.7,6.32,16.4,4.56,11.28,3.91,6.62,6.28,4.41,5.47,3.84,6.18,8.08,5.17,6.65,6.22,12.37,6.35,9.74,9.73,9.72,9.71,9.7,9.69,9.68,9.67,9.66,9.65,9.64
ForestLandRemainCarbonStock,LULUCF,ForestLand,ForestLandRemainCarbonStock,USA,CO2,MMTCO2e,-974.8,-976.3,-979.2,-974.8,-968,-958.7,-959.7,-956.7,-952.7,-939.5,-918.6,-925.5,-883.2,-917.4,-829.8,-876,-905.6,-876.2,-855.7,-819.1,-855.7,-867.9,-866.8,-851.5,-879.4,-786.9,-886.1,-887.9,-873.5,-813.2,-862,-844.2,-787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ForestLandSoils,LULUCF,ForestLand,ForestLandSoils,USA,N2O,MMTCO2e,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
