usproj_category,usproj_sector,usproj_source,usproj_subsource,region,gas,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
FFCRes,Energy,FFC,FFCRes,USA,CO2,MMTCO2e,338.6,347.7,354,366.1,357,353.1,383.5,365,331.6,350.9,371.7,363.1,361.1,380.1,369.1,358.9,321.7,341.2,347.9,335.9,334.5,326.3,282.5,329.3,346.7,317.6,293.2,294,338.9,342.9,314.8,318,334.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFCTrans,Transportation,FFC,FFCTrans,USA,CO2,MMTCO2e,1468.9,1422.3,1477.6,1508.6,1553.9,1580.7,1627.4,1643.5,1678.9,1746.3,1792.2,1762.5,1803,1812,1845.2,1858.6,1859.1,1860.7,1759.7,1688.5,1696.6,1670.4,1659.4,1669,1707.3,1718.4,1757.9,1780.3,1813.1,1816.6,1572.8,1753.5,1751.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFCUST,Energy,FFC,FFCUST,USA,CO2,MMTCO2e,20,19.2,21.9,22.6,24.7,21.5,19.8,20.1,19.4,15.5,37,49.7,45.2,50.4,52.9,51.9,51.3,46.6,38.5,39,34.5,34.1,33,28.1,28.3,28.5,26.2,25.9,25.9,24.8,23.3,23.8,22.6,22.03,21.61,21.18,20.61,19.8,19.09,18.36,17.6,17.11,16.68,16.27,15.84,15.49,15.31,15.16,14.96,14.54,14.4,14.27,14.24,14.22,14.14,14.08,14.07,14.09,14.05,13.97,13.9
Ferroalloy,IPPU,Ferroalloy,Ferroalloy,USA,CH4,MMTCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferroalloy,IPPU,Ferroalloy,Ferroalloy,USA,CO2,MMTCO2e,2.2,1.9,2,1.9,2,2,2.1,2.2,2.2,2.2,1.9,1.5,1.3,1.3,1.4,1.4,1.5,1.6,1.6,1.5,1.7,1.7,1.9,1.8,2,2,1.8,2,2.1,1.6,1.4,1.6,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
FieldBurn,Agriculture,FieldBurn,FieldBurn,USA,CH4,MMTCO2e,0.5,0.5,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.7,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
FieldBurn,Agriculture,FieldBurn,FieldBurn,USA,N2O,MMTCO2e,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ForestLandConvertCarbonStock,LULUCF,ForestLand,ForestLandConvertCarbonStock,USA,CO2,MMTCO2e,-100.2,-100.1,-100,-100,-100,-100.1,-100.1,-100,-100.1,-100.1,-100.1,-100.1,-100.1,-100.1,-100.1,-100.2,-100.2,-100.2,-100.2,-100.2,-100.2,-100.2,-100.2,-100.3,-100.3,-100.3,-100.4,-100.4,-100.4,-100.3,-100.3,-100.3,-100.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ForestLandDrainedOrg,LULUCF,ForestLand,ForestLandDrainedOrg,USA,CH4,MMTCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ForestLandDrainedOrg,LULUCF,ForestLand,ForestLandDrainedOrg,USA,N2O,MMTCO2e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ForestLandFires,LULUCF,ForestLand,ForestLandFires,USA,CH4,MMTCO2e,3.4,2.5,0.8,1.1,2.9,0.6,2,0.3,1.1,2.9,6.1,2.2,8.8,5.9,14.1,9.2,4.8,7.5,4.3,6.4,1.8,3.8,5.6,6.5,2.4,14.3,2.4,7.9,6,3.4,9.8,12.7,9.1,10.73,27.72,7.73,19.16,6.63,11.23,10.66,7.47,9.28,6.49,10.47,13.71,8.76,11.28,10.53,21.01,10.76,16.52,16.93,17.34,17.75,18.15,18.56,18.97,19.38,19.79,20.2,20.61
ForestLandFires,LULUCF,ForestLand,ForestLandFires,USA,N2O,MMTCO2e,2.4,2,0.5,0.7,1.8,0.4,1.3,0.2,0.7,2,3.6,1.4,5.6,3.5,9.7,6.3,3,4.6,2.6,4.4,1.3,2.7,3.4,4.1,1.6,9.1,1.6,4.6,3.7,2.3,5.5,7.2,5.7,5.62,14.51,4.05,10.03,3.47,5.88,5.58,3.91,4.86,3.4,5.48,7.18,4.59,5.91,5.52,11,5.63,8.65,8.82,8.99,9.16,9.33,9.5,9.68,9.85,10.02,10.19,10.36
ForestLandRemainCarbonStock,LULUCF,ForestLand,ForestLandRemainCarbonStock,USA,CO2,MMTCO2e,-974.8,-976.3,-979.2,-974.8,-968,-958.7,-959.7,-956.7,-952.7,-939.5,-918.6,-925.5,-883.2,-917.4,-829.8,-876,-905.6,-876.2,-855.7,-819.1,-855.7,-867.9,-866.8,-851.5,-879.4,-786.9,-886.1,-887.9,-873.5,-813.2,-862,-844.2,-787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ForestLandSoils,LULUCF,ForestLand,ForestLandSoils,USA,N2O,MMTCO2e,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glass,IPPU,Glass,Glass,USA,CO2,MMTCO2e,2.3,2.1,2.2,2.3,2.3,2.3,2.4,2.5,2.5,2.6,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.2,1.9,2.1,2.1,2,2,2,2,2.1,2,2,1.9,1.9,2,2,1.96,1.89,1.92,1.83,1.68,1.54,1.41,1.28,1.21,1.15,1.11,1.07,1.05,1.05,1.04,1.04,1.01,1.02,1.02,1.04,1.05,1.04,1.05,1.06,1.07,1.06,1.05,1.05
GrasslandConvertCarbonStock,LULUCF,Grassland,GrasslandConvertCarbonStock,USA,CO2,MMTCO2e,35.3,34.8,34.3,32.5,30.1,30.3,28.7,28.3,24.6,25.3,22.1,21.7,21.3,21.5,21,21.8,20.5,21.6,21.4,23.1,22.7,22.8,20.9,22.1,24,21.2,23.7,23.8,25.2,25.4,28.7,24.5,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GrasslandFires,LULUCF,Grassland,GrasslandFires,USA,CH4,MMTCO2e,0.1,0.1,0.2,0.1,0.3,0.2,0.5,0.1,0.2,0.5,0.5,0.2,0.2,0.2,0.1,0.4,0.8,0.6,0.4,0.4,0.2,0.9,0.7,0.2,0.4,0.4,0.5,0.8,0.6,0.2,0.6,0.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GrasslandFires,LULUCF,Grassland,GrasslandFires,USA,N2O,MMTCO2e,0.1,0.1,0.1,0.1,0.3,0.1,0.4,0.1,0.2,0.4,0.4,0.2,0.2,0.2,0.1,0.4,0.7,0.5,0.3,0.4,0.2,0.8,0.6,0.2,0.4,0.4,0.5,0.7,0.5,0.1,0.5,0.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
